hoy,value
535,2.5
536,2.6
537,2.4
538,0.6
539,0.5
540,0.6
541,0.7
542,0.8
543,0.6
544,0.7
545,2.8
546,2.6
547,2.5
548,2.5
549,2.5
550,2.7
551,2.5
552,2.6
553,2.5
554,2.5
555,2.5
556,2.6
557,2.5
558,2.5
559,2.5
560,2.5
561,2.5
562,0.5
563,0.8
564,0.9
565,0.6
566,0.5
567,0.5
568,0.7
569,2.7
570,2.6
571,2.5
572,2.5
573,2.5
574,2.5
575,2.5
576,2.5
577,2.6
578,2.5
579,2.6
580,2.5
581,2.5
582,2.5
583,2.6
584,2.5
585,2.4
586,0.5
587,0.8
588,0.9
589,0.5
590,0.5
591,0.6
592,1.5
593,2.8
594,2.8
595,2.7
596,2.6
597,2.7
598,2.7
599,2.7
600,2.7
601,2.7
602,2.7
603,2.8
604,2.7
605,2.7
606,2.7
607,2.7
608,2.7
609,1.9
610,0.6
611,0.7
612,0.8
613,0.8
614,0.7
615,0.7
616,0.8
617,2.4
618,2.8
619,2.7
620,2.7
621,2.7
622,2.8
623,2.7
624,2.7
625,2.7
626,2.8
627,2.7
628,2.8
629,2.7
630,2.8
631,2.7
632,2.8
633,1.9
634,0.7
635,0.7
636,0.7
637,0.8
638,0.7
639,0.7
640,0.9
641,2
642,2.7
643,2.7
644,2.8
645,2.7
646,2.7
647,2.7
648,2.8
649,2.7
650,2.8
651,2.7
652,2.8
653,2.7
654,2.8
655,2.7
656,2.7
657,2.6
658,0.8
659,0.7
660,0.7
661,0.7
662,0.8
663,0.7
664,1
665,2.4
666,2.7
667,2.8
668,2.8
669,2.8
670,2.7
671,2.8
672,2.7
673,2.8
674,2.7
675,2.8
676,2.7
677,2.8
678,2.7
679,2.8
680,2.7
681,1.8
682,0.8
683,0.7
684,0.7
685,0.7
686,0.8
687,0.7
688,0.8
689,2.8
690,2.7
691,2.7
692,2.7
693,2.8
694,2.7
695,2.8
696,2.7
697,2.8
698,2.8
699,2.7
700,2.8
701,2.8
702,2.8
703,2.7
704,2.8
705,1.7
706,0.7
707,0.8
708,0.7
709,0.8
710,0.7
711,0.8
712,0.8
713,1.8
714,2.7
715,2.8
716,2.9
717,2.8
718,2.8
719,2.7
720,2.9
721,2.8
722,2.8
723,2.9
724,2.9
725,2.9
726,2.9
727,2.9
728,3
729,1.4
730,0.5
731,0.5
732,0.5
733,0.5
734,0.5
735,0.5
736,1.1
737,2.7
738,2.9
739,2.8
740,2.9
741,2.7
742,2.7
743,2.9
744,2.7
745,2.7
746,2.7
747,2.8
748,2.7
749,2.7
750,2.8
751,2.7
752,2.8
753,1.5
754,0.7
755,0.7
756,0.7
757,0.8
758,0.7
759,0.7
760,0.9
761,2.8
762,2.7
763,2.7
764,2.7
765,2.8
766,2.7
767,2.8
768,2.7
769,2.7
770,2.8
771,2.7
772,2.8
773,2.7
774,2.7
775,2.7
776,2.8
777,1.3
778,0.7
779,0.7
780,0.8
781,0.6
782,0.8
783,0.8
784,0.7
785,2
786,2.8
787,3
788,2.9
789,2.7
790,2.8
791,2.7
792,2.7
793,2.8
794,2.7
795,2.8
796,2.7
797,2.8
798,2.7
799,2.8
800,2.7
801,2.6
802,0.7
803,0.5
804,0.5
805,0.5
806,0.6
807,0.5
808,0.7
809,1.5
810,2.5
811,2.5
812,2.6
813,2.5
814,2.6
815,2.5
816,2.5
817,2.6
818,2.5
819,2.6
820,2.6
821,2.5
822,2.6
823,2.5
824,2.6
825,0.8
826,0.5
827,0.5
828,0.5
829,0.6
830,0.5
831,0.5
832,0.6
833,1.1
834,2.6
835,2.5
836,2.6
837,2.5
838,2.6
839,2.5
840,2.6
841,2.6
842,2.6
843,2.5
844,2.6
845,2.5
846,2.6
847,2.5
848,2.6
849,1.5
850,0.5
851,0.5
852,0.5
853,0.5
854,0.5
855,0.5
856,0.6
857,2
858,2.5
859,2.6
860,2.5
861,2.5
862,2.6
863,2.5
864,2.6
865,2.5
866,2.6
867,2.5
868,2.6
869,2.6
870,2.5
871,2.6
872,2.6
873,0.7
874,0.5
875,0.6
876,0.6
877,0.6
878,0.7
879,0.7
880,0.8
881,2.2
882,2.8
883,2.5
884,2.7
885,2.8
886,2.6
887,2.5
888,2.5
889,2.6
890,2.5
891,2.5
892,2.6
893,2.5
894,2.5
895,2.5
896,2.5
897,1.4
898,0.7
899,0.6
900,0.6
901,0.7
902,0.5
903,0.6
904,0.7
905,1.5
906,2.6
907,2.8
908,2.5
909,2.4
910,2.5
911,2.5
912,2.5
913,2.5
914,2.5
915,2.4
916,2.5
917,2.5
918,2.5
919,2.5
920,2.5
921,2.5
922,0.5
923,0.5
924,0.5
925,0.5
926,0.6
927,0.5
928,0.8
929,1.8
930,2.7
931,2.9
932,2.5
933,2.6
934,2.5
935,2.6
936,2.5
937,2.5
938,2.6
939,2.5
940,2.6
941,2.5
942,2.6
943,2.5
944,2.6
945,2.6
946,0.6
947,0.6
948,0.5
949,0.5
950,0.5
951,0.5
952,0.5
953,1.5
954,2.6
955,2.5
956,2.6
957,2.6
958,2.6
959,2.5
960,2.5
961,2.5
962,2.5
963,2.5
964,2.4
965,2.5
966,2.5
967,2.5
968,2.5
969,0.5
970,0.5
971,0.5
972,0.5
973,0.6
974,0.5
975,0.5
976,0.8
977,2.5
978,2.5
979,2.5
980,2.6
981,2.5
982,2.5
983,2.5
984,2.5
985,2.4
986,2.5
987,2.5
988,2.5
989,2.5
990,2.5
991,2.5
992,2.3
993,0.5
994,0.5
995,0.6
996,0.5
997,0.5
998,0.5
999,0.7
1000,0.6
1001,1.1
1002,2.6
1003,2.6
1004,2.3
1005,2.2
1006,2.4
1007,2.8
1008,2.6
1009,2.4
1010,2.5
1011,2.5
1012,2.4
1013,2.5
1014,2.4
1015,2.5
1016,2.5
1017,0.6
1018,0.5
1019,0.5
1020,0.5
1021,0.5
1022,0.5
1023,0.5
1024,0.8
1025,0.7
1026,2.7
1027,2.7
1028,2.4
1029,2.6
1030,2.4
1031,2.5
1032,2.5
1033,2.4
1034,2.5
1035,2.5
1036,2.4
1037,2.5
1038,2.5
1039,2.4
1040,2.3
1041,0.5
1042,0.5
1043,0.4
1044,0.5
1045,0.5
1046,0.5
1047,0.5
1048,0.8
1049,0.5
1050,2.2
1051,2.4
1052,2.5
1053,2.5
1054,2.5
1055,2.5
1056,2.5
1057,2.4
1058,2.5
1059,2.4
1060,2.5
1061,2.5
1062,2.4
1063,2.5
1064,2.4
1065,1.4
1066,0.5
1067,0.5
1068,0.5
1069,0.5
1070,0.5
1071,0.5
1072,0.5
1073,2.4
1074,2.6
1075,2.5
1076,2.4
1077,2.4
1078,2.5
1079,2.4
1080,2.5
1081,2.5
1082,2.4
1083,2.5
1084,2.5
1085,2.4
1086,2.5
1087,2.5
1088,2.4
1089,2.4
1090,0.5
1091,0.5
1092,0.5
1093,0.6
1094,0.5
1095,0.4
1096,0.8
